pid,autonomy,auto_grouped,human_traj_err,robot_traj_err,overall_traj_err,tapping_err_short,tapping_err_long,tapping_err_ave,pupil_diameter,left_index,right_index,pupil_index,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_counton,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave,per_auto,single_trust,order,trust_tech,play_games,play_music,noisy_robot
2,0.8,high,3.52597080352484,0.0,0.705194160704965,3.0307549238204863,8.904729866319233,5.641410454249999,3.086886065371603,1.775,1.725,1.75,4.0,3.0,3.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9,9.0,dec,6,2,1,no
4,0.8,high,3.6113027000058415,0.0,0.7222605400011625,3.6900809519820754,1.613499323527035,11.495707134,3.0079834384335427,1.475,1.65,1.5625,7.0,3.0,4.0,5.0,4.636363636363637,8.0,7.333333333333333,6.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.5,6.5,6.5,8,8.0,dec,6,6,3,no
6,0.8,high,3.846338550044482,0.0,0.7692677100088925,6.671697696050005,5.89090912430374,6.143746271,3.354363967837581,2.475,2.4250000000000003,2.45,6.0,5.0,8.0,6.0,7.0,6.0,6.333333333333333,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.5,4.75,4.625,6,5.0,dec,5,6,2,no
8,0.8,high,3.879170803535677,0.0,0.775834160707135,15.69792603453006,12.159908355938072,14.0907620125,3.028796181439505,2.025,2.025,2.025,3.0,1.0,1.0,1.0,1.0,6.0,2.1666666666666665,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,9.0,dec,6,2,2,no
10,0.8,high,2.973170218528017,0.0,0.5946340437056,5.476580262184134,-3.1674510240554508,1.5093040774999995,3.265656276829562,1.875,0.95,1.4125,4.0,5.0,5.0,5.0,4.0,6.0,4.833333333333333,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.75,6.0,5.875,8,7.0,dec,3,4,1,no
12,0.8,high,3.581867798479685,0.0,0.71637355969593,2.991874151759683,3.877837624814776,3.36320607875,3.177122923492846,1.025,1.025,1.025,2.0,1.0,2.0,1.0,2.0,12.0,3.333333333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7,7.0,dec,6,7,5,no
14,0.8,high,3.953170769878085,0.0,0.790634153975615,2.4991234640280524,6.9810897111892665,4.516248243500001,2.75326717545057,2.0500000000000003,0.775,0.75,3.0,5.0,4.0,5.0,7.0,4.0,4.666666666666667,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.5,6.75,6.625,9,8.0,dec,6,6,2,no
16,0.8,high,3.5593579989437276,0.0,0.7118715997887417,-5.522928237915039,6.576402482445596,6.109353247045454,3.5562415757361125,2.075,1.975,2.025,1.0,1.0,2.0,1.0,2.0,6.0,2.1666666666666665,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.75,7.0,6.875,9,8.0,dec,5,1,1,no
18,0.8,high,3.5593579989437276,0.0,0.7118715997887417,7.051334381103516,18.49886410766177,12.038811426,3.6587772678035178,2.225,2.375,2.3,7.0,7.0,9.0,6.0,6.0,3.0,6.333333333333333,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.5,6.0,5.75,8,8.0,dec,3,6,1,no
20,0.8,high,3.088389441515215,0.0,0.6176778883030375,3.6900809519820754,6.576402482445596,4.103439797500002,3.2372502628706545,2.6500000000000004,2.575,2.6125,4.0,4.0,6.0,6.0,5.0,10.0,5.833333333333333,3.0,2.0,3.0,3.0,2.0,3.0,5.818181818181818,3.0,2.5,2.75,2.625,4,7.8,dec,6,1,2,no
22,0.8,high,3.574840904981708,0.0,0.7149681809963375,-6.148944795131696,5.35402140683598,-1.0365153750000005,2.99909536851381,2.3,2.375,2.3375000000000004,2.0,2.0,2.0,2.0,5.0,8.0,3.5,7.0,7.0,7.0,7.0,0.0,6.0,6.0,4.0,5.0,6.0,5.5,9,9.0,dec,5,1,1,no
24,0.8,high,3.5593579989437276,0.0,0.7118715997887417,5.153391639391561,5.6506163279215365,5.3367655975,3.000034578134847,2.65,2.425,2.5375000000000005,2.0,1.0,2.0,1.0,8.0,10.0,4.0,5.818181818181818,2.0,4.0,6.0,0.0,5.636363636363637,4.0,5.636363636363637,5.545454545454546,5.795454545454546,5.670454545454546,2,7.8,dec,6,1,3,no
1,0.8,high,3.25521032321114,0.0,0.6510420646422225,4.734839664565191,10.37364582220715,7.354606907749999,2.8283055625,2.0522727272727277,2.1249999999999996,2.0886363636363634,1.0,1.0,1.0,1.0,1.0,2.0,1.1666666666666667,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.75,6.75,6.75,9,9.0,inc,7,7,1,no
3,0.8,high,1.95805755266907,0.0,0.39161151053381,0.925223827362024,2.6937278360128527,1.69588298775,3.1431421790587635,2.45,2.5250000000000004,2.4875,2.0,4.0,5.0,2.0,5.0,5.0,3.8333333333333335,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,10.0,inc,6,1,2,no
5,0.8,high,3.282259019233005,0.0,0.6564518038465975,7.212571402390827,-2.6648883880288627,2.69762132,2.721654395030124,2.2,2.175,2.1875,1.0,3.0,1.0,1.0,5.0,3.6363636363636362,3.6666666666666665,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,9.0,inc,7,1,1,no
7,0.8,high,2.91506582604573,0.0,0.583013165209145,7.985696792602561,0.4713375949196889,4.645981592499999,3.464084493610986,2.2,2.15,2.175,2.0,3.0,4.0,3.0,6.0,3.0,3.5,6.0,6.0,6.0,5.0,4.0,5.0,6.0,5.0,5.75,5.25,5.5,9,7.0,inc,6,1,1,no
9,0.8,high,2.7827747006422725,0.0,0.5565549401284525,-1.43898655970892,7.198726054694925,2.056702736249999,2.667536889460364,2.5,2.525,2.5125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,6.5,6.0,6.25,7,8.0,inc,6,2,4,no
11,0.8,high,2.391090294936525,0.0,0.4782180589872999,4.802729189395935,17.70564772188664,10.8783964675,3.091265677865613,1.5499999999999998,1.625,1.5875,1.7,2.0,6.0,1.4,5.0,9.0,2.9545454545454546,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.75,5.25,5.5,8,7.0,inc,5,6,3,no
13,0.8,high,2.10630727439263,0.0,0.4212614548785225,4.514674743016553,4.401770275500079,4.4644949795,3.3856224433227853,1.525,1.6,1.5625,3.0,3.0,3.0,1.0,5.0,2.0,2.833333333333333,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8,8.0,inc,7,7,2,no
15,0.8,high,2.304842880478828,0.0,0.4609685760957626,2.153048018614455,0.1961305737495475,1.2833069300000002,3.2817157142370084,1.95,2.025,1.9875000000000005,1.0,2.0,1.0,1.0,1.0,1.0,1.1666666666666667,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.5,6.5,6.5,8,7.0,inc,6,5,4,no
17,0.8,high,2.3212246245330124,0.0,0.464244924906595,4.598513441254398,14.682106447440596,14.779348464999998,3.604183410244379,2.1,2.1500000000000004,2.125,1.7,1.0,4.0,1.4,7.0,6.0,5.333333333333333,6.0,7.0,6.0,7.0,5.0,6.0,6.0,6.0,5.75,6.5,6.125,10,9.0,inc,5,5,1,no
19,0.8,high,2.9922517225872447,0.0,0.5984503445174449,2.6506435871124268,3.936363259951275,3.18612494975,2.559468144986371,1.75,2.025,1.8875,3.0,2.0,4.0,2.0,2.0,3.0,2.6666666666666665,6.0,7.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.25,6.125,8,4.0,inc,6,7,5,no
21,0.8,high,2.856498740102675,0.0,0.57129974802053,7.174146672089897,4.958628570591959,5.63580971725,2.742948556734734,2.6,2.7,2.6499999999999995,1.0,1.0,2.8181818181818183,1.0,7.0,4.0,4.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,6.25,6.75,6.5,9,10.0,inc,7,6,1,no
23,0.8,high,3.6592598689519127,0.0,0.7318519737903749,9.869060516357422,9.517133037249248,9.258514910000002,3.9061578534794297,1.75,1.875,1.8125,2.0,1.0,1.0,1.0,11.0,4.0,3.333333333333333,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.75,5.5,5.625,8,8.0,inc,5,5,4,no
2,0.2,low,1.5425427297567225,0.0,1.2340341838053774,-2.715158462524414,7.788607478141784,1.9531819545,2.816876431585116,2.15,1.9250000000000005,2.0375,5.0,3.0,4.0,4.0,4.0,14.0,5.666666666666667,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.5,4.5,4.5,6,6.0,dec,6,2,1,no
4,0.2,low,1.832041998185545,0.0,1.465633598548435,-1.94382905960083,7.182854413986207,1.978831025,3.034437656923709,1.525,1.9,1.7125,10.0,2.0,11.0,3.0,10.0,13.0,8.166666666666666,6.0,6.0,5.0,4.0,7.0,7.0,7.0,7.0,6.25,6.0,6.125,8,7.0,dec,6,6,3,no
6,0.2,low,2.241515503499385,0.0,1.7932124027995076,3.8737266924646168,0.9708658191892898,2.556733391,3.4517952416310083,2.55,2.325,2.4375,10.0,8.0,11.0,4.181818181818182,11.0,10.0,10.333333333333334,2.0,2.0,3.0,0.0,3.0,2.0,2.0,3.0,2.5,1.75,2.125,4,3.0,dec,5,6,2,no
8,0.2,low,3.095684223556668,0.0,2.4765473788453303,7.158948183059636,13.998216349217609,10.3731887885,3.1130311512094284,2.25,2.375,2.3125,3.0,1.0,1.0,1.0,3.0,6.0,2.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,9.0,dec,6,2,2,no
10,0.2,low,2.817736799496588,0.0,2.254189439597272,8.367370764414446,3.473105720347825,6.048739165749999,3.221377270708383,1.8,0.7000000000000001,1.25,6.0,6.0,4.0,4.0,4.0,7.0,5.166666666666667,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.75,4.75,4.75,6,6.0,dec,3,4,1,no
12,0.2,low,3.229166365780582,0.0,2.5833330926244646,3.9658164978027344,-6.718291309144762,-0.6923110079999999,3.152148641425534,0.975,0.975,0.975,2.0,1.0,1.0,3.0,3.0,18.0,4.666666666666667,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1.0,dec,6,7,5,no
14,0.2,low,3.002360955330448,0.0,2.401888764264357,7.645597855250037,0.0273988478713724,4.259731631499999,2.794327680742988,2.0704545454545453,0.65,0.55,3.0,5.0,5.0,9.0,9.0,7.0,6.333333333333333,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.5,5.0,4.75,6,5.0,dec,6,6,2,no
16,0.2,low,2.0363762031949126,0.0,1.6291009625559298,8.377673029899588,8.008672650213612,7.9889273125,3.438520563681997,2.2,2.0,2.1,3.0,2.0,4.0,3.0,5.0,14.0,5.166666666666667,4.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,3.75,4.5,4.125,7,6.0,dec,5,1,1,no
18,0.2,low,3.6274963226796495,0.0,2.9019970581437176,9.502140904466284,4.907177728635296,15.797101184499995,3.670102021663761,2.425,2.55,2.4875,7.0,4.0,10.0,6.0,11.0,5.0,7.166666666666667,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4,5.0,dec,3,6,1,no
20,0.2,low,3.1917763918747504,0.0,2.5534211134998004,10.870552294784108,4.907177728635296,16.245487389,3.292745889357664,2.45,2.475,2.4625,6.0,5.0,7.0,8.0,8.0,10.0,7.333333333333333,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.75,1.5,1.625,3,3.0,dec,6,1,2,no
22,0.2,low,1.4791635892095276,0.0,1.1833308713676225,0.2908263603846164,7.187086608674794,3.38029098,2.9368420310648204,2.4,2.4000000000000004,2.4,5.0,5.0,6.0,4.0,11.0,8.0,6.5,4.0,5.0,4.0,4.0,1.0,5.0,4.0,3.0,3.25,4.25,3.75,7,6.0,dec,5,1,1,no
24,0.2,low,3.5572880167417,0.0,2.84583041339336,1.5459078550338743,7.153260707855223,3.974551823499999,2.903579117111998,2.05,2.275,2.1625,4.0,1.0,1.0,1.0,6.0,12.0,4.166666666666667,0.0,1.0,6.0,2.0,0.0,0.0,6.0,1.0,3.0,1.0,2.0,1,1.0,dec,6,1,3,no
1,0.2,low,1.58189662523382,0.0,1.2655173001870526,4.6449032425880326,10.739345724384018,7.369105978999999,3.470474974375,2.0954545454545452,2.1113636363636363,2.103409090909091,7.0,7.0,7.0,4.0,5.0,9.0,6.5,7.0,4.5,6.0,7.0,6.0,6.0,6.0,6.0,6.25,6.5,6.375,9,6.0,inc,7,7,1,no
3,0.2,low,1.40277163313829,0.0,1.12221730651063,3.969998682538654,3.346555293710141,3.735367743750001,3.224648026818325,1.925,1.925,1.9250000000000005,8.0,7.0,9.0,6.0,7.090909090909091,13.0,5.712121212121212,6.0,6.0,6.0,5.0,3.6666666666666665,6.0,6.0,6.0,6.25,5.75,6.0,1,5.3,inc,6,1,2,no
5,0.2,low,1.76236922219626,0.0,1.4098953777570076,27.270145316918672,8.639971514542891,18.732587126,2.787662447501773,2.025,2.175,2.1,1.0,1.0,1.0,1.0,6.0,15.0,4.166666666666667,4.7272727272727275,4.5,4.636363636363637,0.0,3.6666666666666665,4.545454545454546,4.818181818181818,4.454545454545454,4.613636363636363,4.545454545454546,4.579545454545454,1,5.3,inc,7,1,1,no
7,0.2,low,2.4175982293034504,0.0,1.9340785834427623,5.868044098218253,4.696763455867737,5.1618522125,3.599765240344283,2.375,2.525,2.45,3.0,6.0,7.0,5.0,9.0,9.0,6.5,4.0,5.0,5.0,4.0,2.0,3.0,4.0,3.0,3.75,3.75,3.75,7,5.0,inc,6,1,1,no
9,0.2,low,2.62419645245617,0.0,2.099357161964935,13.210238615671791,-3.1842136383056667,6.548152487500001,2.7463904412355427,2.6,2.4,2.5,2.0,2.0,4.0,3.0,6.0,13.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,3.75,4.5,4.125,3,6.0,inc,6,2,4,no
11,0.2,low,2.1270636508772425,0.0,1.7016509207017922,9.646537899971008,5.99552207272061,16.871694044999998,3.252365657733726,2.2,2.3,2.25,12.0,10.0,5.0,4.0,6.0,6.0,7.166666666666667,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,6,5.0,inc,5,6,3,no
13,0.2,low,2.3836323044839376,0.0,1.906905843587149,9.93423561255143,2.745184898376471,6.65542645975,3.472890458867904,1.775,1.9,1.8375,5.0,3.0,3.0,1.0,7.0,7.0,4.333333333333333,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.75,3.25,3.5,3,4.0,inc,7,7,2,no
15,0.2,low,1.33776393226827,0.0,1.070211145814615,14.329830408096322,16.384755864187547,15.0814195075,3.272809978027031,1.975,1.825,1.9,2.0,3.0,3.0,2.0,3.0,4.0,2.833333333333333,5.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,4.75,4.875,5,5.0,inc,6,5,4,no
17,0.2,low,2.244311253099762,0.0,1.7954490024798124,14.09881591796875,6.905861695607504,10.0643424725,3.9149630233216177,1.9,1.875,1.8875,15.0,1.0,5.0,3.0,12.0,11.0,8.833333333333334,4.0,5.0,4.0,2.0,3.6666666666666665,4.0,2.0,2.0,4.25,3.25,3.75,6,7.0,inc,5,5,1,no
19,0.2,low,2.02182932079794,0.0,1.61746345663835,1.9272335370381584,0.8646022942330998,1.4549529842500002,2.783113195964992,1.925,1.75,1.8375,7.0,5.0,6.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0,6.0,5.0,5.0,5.5,5.25,5,4.0,inc,6,7,5,no
21,0.2,low,2.939437851892865,0.0,2.35155028151429,-2.1149321893850823,2.248862923847321,-0.1538201907499985,2.8691124908046874,2.575,2.575,2.575,2.0,3.0,10.0,1.0,12.0,12.0,6.666666666666667,4.0,5.0,3.0,3.0,3.0,5.0,6.0,4.0,4.0,4.25,4.125,6,5.0,inc,7,6,1,no
23,0.2,low,2.3438410659823177,0.0,1.8750728527858505,3.085759878158578,12.563052773475643,7.155218357499999,3.7796190721485887,1.775,1.975,1.875,6.0,4.0,8.0,3.0,7.0,7.0,5.833333333333333,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.75,4.5,4.625,7,6.0,inc,5,5,4,no
