pid,autonomy,auto_grouped,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_counton,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave,per_auto,single_trust
2,0.6,high,5.0,4.0,4.0,4.0,3.0,6.0,4.333333333333333,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9,9
2,0.8,high,4.0,3.0,3.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9,9
2,0.0,low,5.0,3.0,5.0,5.0,5.0,14.0,6.166666666666667,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.5,3.25,3.375,5,4
2,0.2,low,5.0,3.0,4.0,4.0,4.0,14.0,5.666666666666667,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.5,4.5,4.5,6,6
3,0.0,low,9.0,8.0,10.0,9.0,16.0,11.0,10.5,6.0,6.0,4.0,7.0,6.0,6.0,5.0,6.0,5.25,6.25,5.75,1,10
3,0.2,low,8.0,7.0,9.0,6.0,16.0,13.0,9.833333333333334,6.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,6.25,5.75,6.0,1,10
3,0.6,high,7.0,5.0,10.0,4.0,10.0,7.0,7.166666666666667,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.75,7.0,6.875,6,10
3,0.8,high,2.0,4.0,5.0,2.0,5.0,5.0,3.8333333333333335,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,10
4,0.6,high,6.0,2.0,4.0,2.0,8.0,6.0,4.666666666666667,7.0,7.0,4.0,6.0,7.0,7.0,6.0,7.0,6.0,6.75,6.375,9,8
4,0.8,high,7.0,3.0,4.0,5.0,17.0,8.0,7.333333333333333,6.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.5,6.5,6.5,8,8
4,0.0,low,8.0,5.0,14.0,6.0,16.0,13.0,10.333333333333334,5.0,5.0,4.0,6.0,5.0,5.0,5.0,7.0,4.75,5.75,5.25,7,10
4,0.2,low,10.0,2.0,11.0,3.0,10.0,13.0,8.166666666666666,6.0,6.0,5.0,4.0,7.0,7.0,7.0,7.0,6.25,6.0,6.125,8,7
5,0.0,low,1.0,1.0,1.0,1.0,5.0,16.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5,0.2,low,1.0,1.0,1.0,1.0,6.0,15.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5,0.6,high,1.0,1.0,1.0,1.0,10.0,11.0,4.166666666666667,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9,7
5,0.8,high,1.0,3.0,1.0,1.0,5.0,11.0,3.6666666666666665,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,9
6,0.6,high,7.0,7.0,12.0,13.0,12.0,11.0,10.333333333333334,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.25,2.0,2.125,3,3
6,0.8,high,6.0,5.0,8.0,6.0,7.0,6.0,6.333333333333333,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.5,4.75,4.625,6,5
6,0.0,low,14.0,11.0,16.0,17.0,15.0,17.0,15.0,0.0,0.0,7.0,0.0,7.0,7.0,0.0,7.0,3.5,3.5,3.5,1,1
6,0.2,low,10.0,8.0,11.0,12.0,11.0,10.0,10.333333333333334,2.0,2.0,3.0,0.0,3.0,2.0,2.0,3.0,2.5,1.75,2.125,4,3
7,0.0,low,8.0,6.0,10.0,8.0,12.0,13.0,9.5,3.0,5.0,5.0,3.0,0.0,3.0,3.0,3.0,2.75,3.5,3.125,4,4
7,0.2,low,3.0,6.0,7.0,5.0,9.0,9.0,6.5,4.0,5.0,5.0,4.0,2.0,3.0,4.0,3.0,3.75,3.75,3.75,7,5
7,0.6,high,3.0,4.0,6.0,4.0,6.0,6.0,4.833333333333333,5.0,6.0,6.0,5.0,3.0,4.0,5.0,4.0,4.75,4.75,4.75,8,6
7,0.8,high,2.0,3.0,4.0,3.0,6.0,3.0,3.5,7.0,6.0,6.0,5.0,4.0,5.0,6.0,5.0,5.75,5.25,5.5,9,7
8,0.6,high,3.0,1.0,1.0,1.0,5.0,6.0,2.8333333333333335,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,9
8,0.8,high,3.0,1.0,1.0,1.0,1.0,6.0,2.1666666666666665,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,9
8,0.0,low,3.0,1.0,1.0,1.0,3.0,7.0,2.6666666666666665,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,9
8,0.2,low,3.0,1.0,1.0,1.0,3.0,6.0,2.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,9
9,0.0,low,3.0,1.0,6.0,4.0,10.0,14.0,6.333333333333333,4.0,3.0,7.0,5.0,6.0,5.0,2.0,7.0,4.75,5.0,4.875,7,5
9,0.2,low,2.0,2.0,4.0,3.0,6.0,13.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,3.75,4.5,4.125,3,6
9,0.6,high,1.0,1.0,2.0,2.0,1.0,2.0,1.5,7.0,6.0,2.0,7.0,7.0,6.0,7.0,3.0,5.75,5.5,5.625,9,10
9,0.8,high,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,6.5,6.0,6.25,7,8
10,0.6,high,4.0,4.0,4.0,3.0,4.0,5.0,4.0,6.0,5.0,4.0,6.0,4.0,5.0,5.0,5.0,4.75,5.25,5.0,7,6
10,0.8,high,4.0,5.0,5.0,5.0,4.0,6.0,4.833333333333333,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.75,6.0,5.875,8,7
10,0.0,low,13.0,10.0,12.0,11.0,11.0,10.0,11.166666666666666,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.25,2.5,2.375,4,3
10,0.2,low,6.0,6.0,4.0,4.0,4.0,7.0,5.166666666666667,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.75,4.75,4.75,6,6
11,0.0,low,12.0,10.0,8.0,4.0,6.0,8.0,8.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.75,2.0,2.375,3,3
11,0.2,low,12.0,10.0,5.0,4.0,6.0,6.0,7.166666666666667,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,6,5
11,0.6,high,10.0,8.0,3.0,4.0,5.0,7.0,6.166666666666667,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.75,5.5,5.625,8,7
11,0.8,high,11.0,8.0,6.0,5.0,5.0,9.0,7.333333333333333,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.75,5.25,5.5,8,7
12,0.6,high,2.0,1.0,2.0,1.0,2.0,11.0,3.1666666666666665,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7,8
12,0.8,high,2.0,1.0,2.0,1.0,2.0,12.0,3.3333333333333335,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7,7
12,0.0,low,3.0,1.0,2.0,3.0,3.0,18.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.125,1,1
12,0.2,low,2.0,1.0,1.0,3.0,3.0,18.0,4.666666666666667,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1
13,0.0,low,5.0,3.0,3.0,1.0,10.0,11.0,5.5,2.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,2.5,2.25,2.375,2,3
13,0.2,low,5.0,3.0,3.0,1.0,7.0,7.0,4.333333333333333,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.75,3.25,3.5,3,4
13,0.6,high,5.0,3.0,3.0,1.0,8.0,6.0,4.333333333333333,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.5,4.5,4.5,6,6
13,0.8,high,3.0,3.0,3.0,1.0,5.0,2.0,2.8333333333333335,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8,8
14,0.6,high,3.0,6.0,7.0,5.0,10.0,7.0,6.333333333333333,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7,8
14,0.8,high,3.0,5.0,4.0,5.0,7.0,4.0,4.666666666666667,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.5,6.75,6.625,9,8
14,0.0,low,6.0,8.0,12.0,12.0,14.0,11.0,10.5,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.75,1.875,2,2
14,0.2,low,3.0,5.0,5.0,9.0,9.0,7.0,6.333333333333333,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.5,5.0,4.75,6,5
15,0.0,low,5.0,5.0,6.0,3.0,7.0,6.0,5.333333333333333,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.25,3.125,3,3
15,0.2,low,2.0,3.0,3.0,2.0,3.0,4.0,2.8333333333333335,5.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,4.75,4.875,5,5
15,0.6,high,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.75,5.75,5.75,7,6
15,0.8,high,1.0,2.0,1.0,1.0,1.0,1.0,1.1666666666666667,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.5,6.5,6.5,8,7
16,0.6,high,2.0,1.0,3.0,1.0,2.0,7.0,2.6666666666666665,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.5,6.75,6.625,8,9
16,0.8,high,1.0,1.0,2.0,1.0,2.0,6.0,2.1666666666666665,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.75,7.0,6.875,9,8
16,0.0,low,4.0,4.0,4.0,7.0,10.0,15.0,7.333333333333333,3.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.25,2.5,2.375,2,3
16,0.2,low,3.0,2.0,4.0,3.0,5.0,14.0,5.166666666666667,4.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,3.75,4.5,4.125,7,6
17,0.0,low,14.0,1.0,5.0,8.0,10.0,13.0,8.5,3.0,5.0,3.0,7.0,7.0,5.0,2.0,7.0,3.75,6.0,4.875,5,8
17,0.2,low,15.0,1.0,5.0,9.0,12.0,11.0,8.833333333333334,4.0,5.0,4.0,2.0,7.0,4.0,2.0,2.0,4.25,3.25,3.75,6,7
17,0.6,high,11.0,1.0,4.0,8.0,9.0,9.0,7.0,6.0,6.0,5.0,6.0,4.0,5.0,4.0,4.0,4.75,5.25,5.0,9,9
17,0.8,high,7.0,1.0,4.0,7.0,7.0,6.0,5.333333333333333,6.0,7.0,6.0,7.0,5.0,6.0,6.0,6.0,5.75,6.5,6.125,10,9
18,0.6,high,6.0,3.0,10.0,4.0,5.0,6.0,5.666666666666667,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.75,5.0,4.875,7,7
18,0.8,high,7.0,7.0,9.0,6.0,6.0,3.0,6.333333333333333,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.5,6.0,5.75,8,8
18,0.0,low,7.0,4.0,10.0,6.0,14.0,7.0,8.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.75,4.75,4.75,2,3
18,0.2,low,7.0,4.0,10.0,6.0,11.0,5.0,7.166666666666667,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4,5
19,0.0,low,10.0,7.0,10.0,3.0,7.0,6.0,7.166666666666667,5.0,5.0,5.0,5.0,3.0,6.0,6.0,5.0,4.75,5.25,5.0,4,4
19,0.2,low,7.0,5.0,6.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0,6.0,5.0,5.0,5.5,5.25,5,4
19,0.6,high,5.0,4.0,7.0,3.0,2.0,3.0,4.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,5.75,5.375,6,3
19,0.8,high,3.0,2.0,4.0,2.0,2.0,3.0,2.6666666666666665,6.0,7.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.25,6.125,8,4
20,0.6,high,6.0,6.0,6.0,7.0,6.0,11.0,7.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.75,1.75,1.75,3,3
20,0.8,high,4.0,4.0,6.0,6.0,5.0,10.0,5.833333333333333,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.5,2.75,2.625,4,3
20,0.0,low,7.0,6.0,7.0,10.0,12.0,15.0,9.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.75,0.5,0.625,1,1
20,0.2,low,6.0,5.0,7.0,8.0,8.0,10.0,7.333333333333333,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.75,1.5,1.625,3,3
21,0.0,low,2.0,1.0,10.0,1.0,10.0,13.0,6.166666666666667,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.75,4.0,3.375,2,3
21,0.2,low,2.0,3.0,10.0,1.0,12.0,12.0,6.666666666666667,4.0,5.0,3.0,3.0,3.0,5.0,6.0,4.0,4.0,4.25,4.125,6,5
21,0.6,high,2.0,2.0,10.0,1.0,7.0,4.0,4.333333333333333,6.0,7.0,5.0,7.0,6.0,6.0,6.0,5.0,5.75,6.25,6.0,7,7
21,0.8,high,1.0,1.0,10.0,1.0,7.0,4.0,4.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,6.25,6.75,6.5,9,10
22,0.6,high,3.0,3.0,5.0,5.0,10.0,7.0,5.5,6.0,6.0,6.0,6.0,4.0,4.0,0.0,3.0,4.0,4.75,4.375,3,6
22,0.8,high,2.0,2.0,2.0,2.0,5.0,8.0,3.5,7.0,7.0,7.0,7.0,0.0,6.0,6.0,4.0,5.0,6.0,5.5,9,9
22,0.0,low,4.0,5.0,7.0,6.0,7.0,11.0,6.666666666666667,4.0,4.0,3.0,3.0,7.0,4.0,4.0,3.0,4.5,3.5,4.0,7,6
22,0.2,low,5.0,5.0,6.0,4.0,11.0,8.0,6.5,4.0,5.0,4.0,4.0,1.0,5.0,4.0,3.0,3.25,4.25,3.75,7,6
23,0.0,low,9.0,4.0,13.0,6.0,10.0,8.0,8.333333333333334,5.0,4.0,3.0,4.0,4.0,4.0,3.0,7.0,3.75,4.75,4.25,6,6
23,0.2,low,6.0,4.0,8.0,3.0,7.0,7.0,5.833333333333333,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.75,4.5,4.625,7,6
23,0.6,high,1.0,1.0,1.0,1.0,5.0,5.0,2.3333333333333335,6.0,6.0,7.0,7.0,5.0,5.0,5.0,6.0,5.75,6.0,5.875,10,9
23,0.8,high,2.0,1.0,1.0,1.0,11.0,4.0,3.3333333333333335,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.75,5.5,5.625,8,8
24,0.6,high,3.0,1.0,1.0,1.0,8.0,11.0,4.166666666666667,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,1.75,0.5,1.125,3,1
24,0.8,high,2.0,1.0,2.0,1.0,8.0,10.0,4.0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0,2.0,0.75,1.375,2,1
24,0.0,low,3.0,1.0,2.0,1.0,7.0,13.0,4.5,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,2.5,0.0,1.25,1,1
24,0.2,low,4.0,1.0,1.0,1.0,6.0,12.0,4.166666666666667,0.0,1.0,6.0,2.0,0.0,0.0,6.0,1.0,3.0,1.0,2.0,1,1
25,0.6,high,1.0,3.0,2.0,1.0,2.0,3.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,1
25,0.8,high,1.0,1.0,2.0,1.0,2.0,3.0,1.6666666666666667,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,6
25,0.0,low,1.0,3.0,2.0,1.0,9.0,12.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
25,0.2,low,1.0,1.0,2.0,2.0,6.0,13.0,4.166666666666667,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4,4
