pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave
1,7,7,1,inc,0.4,low,14.0,16.0,9.0,6.0,12.0,5.0,10.333333333333334
1,7,7,1,inc,0.0,low,18.0,18.0,18.0,9.0,11.0,12.0,14.333333333333334
1,7,7,1,inc,0.2,low,7.0,7.0,7.0,4.0,5.0,9.0,6.5
1,7,7,1,inc,0.6,high,3.0,3.0,6.0,3.0,3.0,5.0,3.8333333333333335
1,7,7,1,inc,0.8,high,1.0,1.0,1.0,1.0,1.0,2.0,1.1666666666666667
2,6,2,1,dec,0.4,low,12.0,2.0,3.0,5.0,3.0,11.0,6.0
2,6,2,1,dec,0.6,high,5.0,4.0,4.0,4.0,3.0,6.0,4.333333333333333
2,6,2,1,dec,0.8,high,4.0,3.0,3.0,4.0,4.0,6.0,4.0
2,6,2,1,dec,0.0,low,5.0,3.0,5.0,5.0,5.0,14.0,6.166666666666667
2,6,2,1,dec,0.2,low,5.0,3.0,4.0,4.0,4.0,14.0,5.666666666666667
3,6,1,2,inc,0.4,low,12.0,8.0,12.0,10.0,19.0,13.0,12.333333333333334
3,6,1,2,inc,0.0,low,9.0,8.0,10.0,9.0,16.0,11.0,10.5
3,6,1,2,inc,0.2,low,8.0,7.0,9.0,6.0,16.0,13.0,9.833333333333334
3,6,1,2,inc,0.6,high,7.0,5.0,10.0,4.0,10.0,7.0,7.166666666666667
3,6,1,2,inc,0.8,high,2.0,4.0,5.0,2.0,5.0,5.0,3.8333333333333335
4,6,6,3,dec,0.4,low,8.0,3.0,7.0,5.0,12.0,11.0,7.666666666666667
4,6,6,3,dec,0.6,high,6.0,2.0,4.0,2.0,8.0,6.0,4.666666666666667
4,6,6,3,dec,0.8,high,7.0,3.0,4.0,5.0,17.0,8.0,7.333333333333333
4,6,6,3,dec,0.0,low,8.0,5.0,14.0,6.0,16.0,13.0,10.333333333333334
4,6,6,3,dec,0.2,low,10.0,2.0,11.0,3.0,10.0,13.0,8.166666666666666
5,7,1,1,inc,0.4,low,1.0,1.0,1.0,1.0,5.0,16.0,4.166666666666667
5,7,1,1,inc,0.0,low,1.0,1.0,1.0,1.0,5.0,16.0,4.166666666666667
5,7,1,1,inc,0.2,low,1.0,1.0,1.0,1.0,6.0,15.0,4.166666666666667
5,7,1,1,inc,0.6,high,1.0,1.0,1.0,1.0,10.0,11.0,4.166666666666667
5,7,1,1,inc,0.8,high,1.0,3.0,1.0,1.0,5.0,11.0,3.6666666666666665
6,5,6,2,dec,0.4,low,10.0,12.0,17.0,15.0,18.0,16.0,14.666666666666666
6,5,6,2,dec,0.6,high,7.0,7.0,12.0,13.0,12.0,11.0,10.333333333333334
6,5,6,2,dec,0.8,high,6.0,5.0,8.0,6.0,7.0,6.0,6.333333333333333
6,5,6,2,dec,0.0,low,14.0,11.0,16.0,17.0,15.0,17.0,15.0
6,5,6,2,dec,0.2,low,10.0,8.0,11.0,12.0,11.0,10.0,10.333333333333334
7,6,1,1,inc,0.4,low,4.0,2.0,10.0,15.0,13.0,17.0,10.166666666666666
7,6,1,1,inc,0.0,low,8.0,6.0,10.0,8.0,12.0,13.0,9.5
7,6,1,1,inc,0.2,low,3.0,6.0,7.0,5.0,9.0,9.0,6.5
7,6,1,1,inc,0.6,high,3.0,4.0,6.0,4.0,6.0,6.0,4.833333333333333
7,6,1,1,inc,0.8,high,2.0,3.0,4.0,3.0,6.0,3.0,3.5
8,6,2,2,dec,0.4,low,5.0,1.0,5.0,1.0,3.0,4.0,3.1666666666666665
8,6,2,2,dec,0.6,high,3.0,1.0,1.0,1.0,5.0,6.0,2.8333333333333335
8,6,2,2,dec,0.8,high,3.0,1.0,1.0,1.0,1.0,6.0,2.1666666666666665
8,6,2,2,dec,0.0,low,3.0,1.0,1.0,1.0,3.0,7.0,2.6666666666666665
8,6,2,2,dec,0.2,low,3.0,1.0,1.0,1.0,3.0,6.0,2.5
9,6,2,4,inc,0.4,low,1.0,1.0,2.0,1.0,2.0,11.0,3.0
9,6,2,4,inc,0.0,low,3.0,1.0,6.0,4.0,10.0,14.0,6.333333333333333
9,6,2,4,inc,0.2,low,2.0,2.0,4.0,3.0,6.0,13.0,5.0
9,6,2,4,inc,0.6,high,1.0,1.0,2.0,2.0,1.0,2.0,1.5
9,6,2,4,inc,0.8,high,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,3,4,1,dec,0.4,low,9.0,12.0,9.0,5.0,9.0,6.0,8.333333333333334
10,3,4,1,dec,0.6,high,4.0,4.0,4.0,3.0,4.0,5.0,4.0
10,3,4,1,dec,0.8,high,4.0,5.0,5.0,5.0,4.0,6.0,4.833333333333333
10,3,4,1,dec,0.0,low,13.0,10.0,12.0,11.0,11.0,10.0,11.166666666666666
10,3,4,1,dec,0.2,low,6.0,6.0,4.0,4.0,4.0,7.0,5.166666666666667
11,5,6,3,inc,0.4,low,10.0,1.0,6.0,4.0,4.0,8.0,5.5
11,5,6,3,inc,0.0,low,12.0,10.0,8.0,4.0,6.0,8.0,8.0
11,5,6,3,inc,0.2,low,12.0,10.0,5.0,4.0,6.0,6.0,7.166666666666667
11,5,6,3,inc,0.6,high,10.0,8.0,3.0,4.0,5.0,7.0,6.166666666666667
11,5,6,3,inc,0.8,high,11.0,8.0,6.0,5.0,5.0,9.0,7.333333333333333
12,6,7,5,dec,0.4,low,3.0,1.0,5.0,2.0,2.0,12.0,4.166666666666667
12,6,7,5,dec,0.6,high,2.0,1.0,2.0,1.0,2.0,11.0,3.1666666666666665
12,6,7,5,dec,0.8,high,2.0,1.0,2.0,1.0,2.0,12.0,3.3333333333333335
12,6,7,5,dec,0.0,low,3.0,1.0,2.0,3.0,3.0,18.0,5.0
12,6,7,5,dec,0.2,low,2.0,1.0,1.0,3.0,3.0,18.0,4.666666666666667
13,7,7,2,inc,0.4,low,5.0,3.0,3.0,1.0,3.0,5.0,3.3333333333333335
13,7,7,2,inc,0.0,low,5.0,3.0,3.0,1.0,10.0,11.0,5.5
13,7,7,2,inc,0.2,low,5.0,3.0,3.0,1.0,7.0,7.0,4.333333333333333
13,7,7,2,inc,0.6,high,5.0,3.0,3.0,1.0,8.0,6.0,4.333333333333333
13,7,7,2,inc,0.8,high,3.0,3.0,3.0,1.0,5.0,2.0,2.8333333333333335
14,6,6,2,dec,0.4,low,3.0,6.0,10.0,6.0,11.0,9.0,7.5
14,6,6,2,dec,0.6,high,3.0,6.0,7.0,5.0,10.0,7.0,6.333333333333333
14,6,6,2,dec,0.8,high,3.0,5.0,4.0,5.0,7.0,4.0,4.666666666666667
14,6,6,2,dec,0.0,low,6.0,8.0,12.0,12.0,14.0,11.0,10.5
14,6,6,2,dec,0.2,low,3.0,5.0,5.0,9.0,9.0,7.0,6.333333333333333
15,6,5,4,inc,0.4,low,2.0,2.0,4.0,3.0,4.0,5.0,3.3333333333333335
15,6,5,4,inc,0.0,low,5.0,5.0,6.0,3.0,7.0,6.0,5.333333333333333
15,6,5,4,inc,0.2,low,2.0,3.0,3.0,2.0,3.0,4.0,2.8333333333333335
15,6,5,4,inc,0.6,high,2.0,2.0,2.0,2.0,2.0,2.0,2.0
15,6,5,4,inc,0.8,high,1.0,2.0,1.0,1.0,1.0,1.0,1.1666666666666667
16,5,1,1,dec,0.4,low,3.0,4.0,8.0,2.0,8.0,14.0,6.5
16,5,1,1,dec,0.6,high,2.0,1.0,3.0,1.0,2.0,7.0,2.6666666666666665
16,5,1,1,dec,0.8,high,1.0,1.0,2.0,1.0,2.0,6.0,2.1666666666666665
16,5,1,1,dec,0.0,low,4.0,4.0,4.0,7.0,10.0,15.0,7.333333333333333
16,5,1,1,dec,0.2,low,3.0,2.0,4.0,3.0,5.0,14.0,5.166666666666667
17,5,5,1,inc,0.4,low,13.0,1.0,3.0,7.0,10.0,9.0,7.166666666666667
17,5,5,1,inc,0.0,low,14.0,1.0,5.0,8.0,10.0,13.0,8.5
17,5,5,1,inc,0.2,low,15.0,1.0,5.0,9.0,12.0,11.0,8.833333333333334
17,5,5,1,inc,0.6,high,11.0,1.0,4.0,8.0,9.0,9.0,7.0
17,5,5,1,inc,0.8,high,7.0,1.0,4.0,7.0,7.0,6.0,5.333333333333333
18,3,6,1,dec,0.4,low,11.0,3.0,15.0,10.0,17.0,7.0,10.5
18,3,6,1,dec,0.6,high,6.0,3.0,10.0,4.0,5.0,6.0,5.666666666666667
18,3,6,1,dec,0.8,high,7.0,7.0,9.0,6.0,6.0,3.0,6.333333333333333
18,3,6,1,dec,0.0,low,7.0,4.0,10.0,6.0,14.0,7.0,8.0
18,3,6,1,dec,0.2,low,7.0,4.0,10.0,6.0,11.0,5.0,7.166666666666667
19,6,7,5,inc,0.4,low,11.0,6.0,9.0,3.0,5.0,6.0,6.666666666666667
19,6,7,5,inc,0.0,low,10.0,7.0,10.0,3.0,7.0,6.0,7.166666666666667
19,6,7,5,inc,0.2,low,7.0,5.0,6.0,3.0,5.0,4.0,5.0
19,6,7,5,inc,0.6,high,5.0,4.0,7.0,3.0,2.0,3.0,4.0
19,6,7,5,inc,0.8,high,3.0,2.0,4.0,2.0,2.0,3.0,2.6666666666666665
20,6,1,2,dec,0.4,low,6.0,1.0,9.0,11.0,7.0,14.0,8.0
20,6,1,2,dec,0.6,high,6.0,6.0,6.0,7.0,6.0,11.0,7.0
20,6,1,2,dec,0.8,high,4.0,4.0,6.0,6.0,5.0,10.0,5.833333333333333
20,6,1,2,dec,0.0,low,7.0,6.0,7.0,10.0,12.0,15.0,9.5
20,6,1,2,dec,0.2,low,6.0,5.0,7.0,8.0,8.0,10.0,7.333333333333333
21,7,6,1,inc,0.4,low,2.0,3.0,10.0,1.0,10.0,6.0,5.333333333333333
21,7,6,1,inc,0.0,low,2.0,1.0,10.0,1.0,10.0,13.0,6.166666666666667
21,7,6,1,inc,0.2,low,2.0,3.0,10.0,1.0,12.0,12.0,6.666666666666667
21,7,6,1,inc,0.6,high,2.0,2.0,10.0,1.0,7.0,4.0,4.333333333333333
21,7,6,1,inc,0.8,high,1.0,1.0,10.0,1.0,7.0,4.0,4.0
22,5,1,1,dec,0.4,low,11.0,7.0,12.0,3.0,16.0,7.0,9.333333333333334
22,5,1,1,dec,0.6,high,3.0,3.0,5.0,5.0,10.0,7.0,5.5
22,5,1,1,dec,0.8,high,2.0,2.0,2.0,2.0,5.0,8.0,3.5
22,5,1,1,dec,0.0,low,4.0,5.0,7.0,6.0,7.0,11.0,6.666666666666667
22,5,1,1,dec,0.2,low,5.0,5.0,6.0,4.0,11.0,8.0,6.5
23,5,5,4,inc,0.4,low,18.0,14.0,8.0,11.0,16.0,5.0,12.0
23,5,5,4,inc,0.0,low,9.0,4.0,13.0,6.0,10.0,8.0,8.333333333333334
23,5,5,4,inc,0.2,low,6.0,4.0,8.0,3.0,7.0,7.0,5.833333333333333
23,5,5,4,inc,0.6,high,1.0,1.0,1.0,1.0,5.0,5.0,2.3333333333333335
23,5,5,4,inc,0.8,high,2.0,1.0,1.0,1.0,11.0,4.0,3.3333333333333335
24,6,1,3,dec,0.4,low,6.0,1.0,2.0,1.0,10.0,12.0,5.333333333333333
24,6,1,3,dec,0.6,high,3.0,1.0,1.0,1.0,8.0,11.0,4.166666666666667
24,6,1,3,dec,0.8,high,2.0,1.0,2.0,1.0,8.0,10.0,4.0
24,6,1,3,dec,0.0,low,3.0,1.0,2.0,1.0,7.0,13.0,4.5
24,6,1,3,dec,0.2,low,4.0,1.0,1.0,1.0,6.0,12.0,4.166666666666667
