pid,autonomy,auto_grouped,pupil_diameter,left_index,right_index,pupil_index
1,0.4,low,3.563735655625,0.75,0.625,0.6875
1,0.0,low,3.860037154375,0.15,0.425,0.2875
1,0.2,low,3.470474974375,0.075,0.65,0.3625
1,0.6,high,2.85798158625,0.2249999999999999,0.15,0.1875
1,0.8,high,2.8283055625,0.15,0.35,0.25
2,0.4,low,3.074164569448257,2.4250000000000003,2.15,2.2875
2,0.6,high,3.0146836099089875,2.575,2.3,2.4375
2,0.8,high,3.086886065371603,1.775,1.725,1.75
2,0.0,low,3.5504493107684345,0.425,0.5,0.4625
2,0.2,low,2.816876431585116,2.15,1.9250000000000005,2.0375
3,0.4,low,3.3760518370733985,2.7250000000000005,2.625,2.675
3,0.0,low,3.2107921893380698,2.2750000000000004,2.2,2.2375
3,0.2,low,3.224648026818325,1.925,1.925,1.9250000000000005
3,0.6,high,3.295558840607957,2.2,2.225,2.2125
3,0.8,high,3.1431421790587635,2.45,2.5250000000000004,2.4875
4,0.4,low,3.5972949111958177,1.4499999999999995,1.075,1.2625
4,0.6,high,3.211532357037866,1.75,1.875,1.8125
4,0.8,high,3.0079834384335427,1.475,1.65,1.5625
4,0.0,low,2.861763489391659,1.8,2.1750000000000003,1.9875
4,0.2,low,3.034437656923709,1.525,1.9,1.7125
5,0.4,low,2.9862323197560987,2.0,2.1500000000000004,2.075
5,0.0,low,2.8629507694242013,2.175,2.125,2.1500000000000004
5,0.2,low,2.787662447501773,2.025,2.175,2.1
5,0.6,high,2.7835147640473585,2.2,2.0,2.1
5,0.8,high,2.721654395030124,2.2,2.175,2.1875
6,0.4,low,3.6837057997789104,2.45,2.65,2.55
6,0.6,high,3.474901163331186,2.5,2.575,2.5375
6,0.8,high,3.354363967837581,2.475,2.4250000000000003,2.45
6,0.0,low,3.4204387377829386,2.35,2.475,2.4125
6,0.2,low,3.4517952416310083,2.55,2.325,2.4375
7,0.4,low,3.853262836065406,2.4,2.45,2.425
7,0.0,low,3.731011556886096,2.075,2.15,2.1125
7,0.2,low,3.599765240344283,2.375,2.525,2.45
7,0.6,high,3.570081260588195,2.075,2.275,2.175
7,0.8,high,3.464084493610986,2.2,2.15,2.175
8,0.4,low,3.4782329106302194,2.225,2.425,2.325
8,0.6,high,3.3720829579337317,2.1500000000000004,2.25,2.2
8,0.8,high,3.028796181439505,2.025,2.025,2.025
8,0.0,low,3.094679543898189,2.325,2.0000000000000004,2.1625
8,0.2,low,3.1130311512094284,2.25,2.375,2.3125
9,0.4,low,2.9814288377187097,2.55,2.5250000000000004,2.5375
9,0.0,low,2.842672987486432,2.55,2.5,2.5250000000000004
9,0.2,low,2.7463904412355427,2.6,2.4,2.5
9,0.6,high,2.71972724376282,2.575,2.375,2.475
9,0.8,high,2.6675368894603637,2.5,2.525,2.5125
10,0.4,low,3.514630843319041,2.075,1.35,1.7125
10,0.6,high,3.3379543374320084,2.1750000000000003,0.975,1.575
10,0.8,high,3.265656276829562,1.875,0.95,1.4125
10,0.0,low,3.380557208333768,1.9,0.9,1.4
10,0.2,low,3.221377270708383,1.8,0.7000000000000001,1.25
11,0.4,low,3.450252084546984,2.1,2.275,2.1875
11,0.0,low,3.307262138448793,2.3,2.2,2.25
11,0.2,low,3.252365657733726,2.2,2.3,2.25
11,0.6,high,2.986265285946073,1.85,1.825,1.8375
11,0.8,high,3.091265677865613,1.5499999999999998,1.625,1.5875
12,0.4,low,0.0,1.225,1.225,1.225
12,0.6,high,0.0,1.15,1.15,1.15
12,0.8,high,0.0,1.025,1.025,1.025
12,0.0,low,0.0,1.1,1.1,1.1
12,0.2,low,0.0,0.975,0.975,0.975
13,0.4,low,3.907982136218324,2.0,2.075,2.0375
13,0.0,low,3.665106630224144,1.95,1.95,1.95
13,0.2,low,3.472890458867904,1.775,1.9,1.8375
13,0.6,high,3.355086642928333,1.825,1.825,1.825
13,0.8,high,3.3856224433227853,1.525,1.6,1.5625
14,0.4,low,2.9914822413532844,1.875,2.0,1.9375
14,0.6,high,2.886928497801531,0.875,0.8999999999999999,0.8875000000000001
14,0.8,high,2.75326717545057,0.725,0.775,0.75
14,0.0,low,2.7116127494587423,0.6,0.7749999999999999,0.6875
14,0.2,low,2.7943276807429878,0.45,0.65,0.55
15,0.4,low,3.5344164082408422,2.475,2.3,2.3875
15,0.0,low,3.398508930004602,2.225,2.1,2.1625
15,0.2,low,3.272809978027031,1.975,1.825,1.9
15,0.6,high,3.228547636152779,1.925,1.975,1.95
15,0.8,high,3.2817157142370084,1.95,2.025,1.9875000000000005
16,0.4,low,3.886576375770442,1.875,2.1500000000000004,2.0125
16,0.6,high,3.6850116235766825,2.025,2.15,2.0875
16,0.8,high,3.5562415757361125,2.075,1.975,2.025
16,0.0,low,3.582966956566465,2.2750000000000004,2.5500000000000003,2.4125000000000005
16,0.2,low,3.438520563681997,2.2,2.0,2.1
17,0.4,low,4.221284230922038,2.0,1.95,1.975
17,0.0,low,4.081172405631063,1.9,2.0250000000000004,1.9625
17,0.2,low,3.9149630233216177,1.9,1.875,1.8875
17,0.6,high,3.722424900598652,2.3,2.075,2.1875
17,0.8,high,3.604183410244379,2.1,2.1500000000000004,2.125
18,0.4,low,3.808170874781414,2.3,2.375,2.3375
18,0.6,high,3.804596064915156,2.475,2.5250000000000004,2.5
18,0.8,high,3.6587772678035178,2.225,2.375,2.3
18,0.0,low,3.750615057767828,2.5250000000000004,2.4000000000000004,2.4625
18,0.2,low,3.670102021663761,2.425,2.55,2.4875
19,0.4,low,4.088169858594968,0.45,0.375,0.4125
19,0.0,low,2.8991516367155152,2.0,1.875,1.9375
19,0.2,low,2.783113195964992,1.925,1.75,1.8375
19,0.6,high,2.859275766035278,1.1,1.275,1.1875
19,0.8,high,2.559468144986371,1.75,2.025,1.8875
20,0.4,low,3.4899964307935,2.5,2.55,2.525
20,0.6,high,3.2837933491664613,2.7,2.525,2.6125
20,0.8,high,3.2372502628706545,2.6500000000000004,2.575,2.6125
20,0.0,low,3.308790260228457,2.375,2.55,2.4625
20,0.2,low,3.292745889357664,2.45,2.475,2.4625
21,0.4,low,2.9497468303951537,2.625,2.525,2.575
21,0.0,low,2.8502559252403006,2.625,2.65,2.6375
21,0.2,low,2.8691124908046874,2.575,2.575,2.575
21,0.6,high,2.782402623811568,2.7,2.575,2.6375
21,0.8,high,2.742948556734734,2.6,2.7,2.6499999999999995
22,0.4,low,3.055738744762929,2.025,2.0,2.0125
22,0.6,high,2.9501509912902835,2.225,2.15,2.1875
22,0.8,high,2.99909536851381,2.3,2.375,2.3375000000000004
22,0.0,low,2.908425404576564,1.8,1.5750000000000002,1.6875
22,0.2,low,2.9368420310648204,2.4,2.4000000000000004,2.4
23,0.4,low,3.882305733788823,1.625,1.95,1.7875
23,0.0,low,3.953548804490204,1.475,1.75,1.6124999999999998
23,0.2,low,3.7796190721485887,1.775,1.975,1.875
23,0.6,high,3.8693859655843696,1.4500000000000002,1.9,1.675
23,0.8,high,3.9061578534794297,1.75,1.875,1.8125
24,0.4,low,3.1443972246980096,2.625,2.425,2.525
24,0.6,high,3.0131544372316954,2.475,2.475,2.475
24,0.8,high,3.000034578134847,2.65,2.425,2.5375000000000005
24,0.0,low,2.9508034920222936,2.5,2.575,2.5375
24,0.2,low,2.903579117111998,2.05,2.275,2.1625
